"","sample_id","lake_name_state_id","state","county","date_collected","analysis_requested","date_acidifed","sample_compromised"
"1","NLA22-MN-10132","Big Split Hand","MN","","6/14/2022","CDOM","",""
"2","NLA22-MN-10132","Big Split Hand","MN","","6/14/2022","TDP",NA,""
"3","NLA22-MN-10134","Burns Lake","MN","","6/14/2022","CDOM","",""
"4","NLA22-MN-10134","Burns Lake","MN","","6/14/2022","TDP",NA,""
"5","NLA22-MN-10114","Little Sand","MN","","6/14/2022","CDOM","",""
"6","NLA22-MN-10114","Little Sand","MN","","6/14/2022","TDP",NA,""
"7","NLF22-20634","Battle Lake","MN","","6/14/2022","CDOM","",""
"8","NLF22-20634","Battle Lake","MN","","6/14/2022","TDP",NA,""
"9","NLF22-20192","Peavy Lake","MN","","6/9/2022","CDOM","",""
"10","NLF22-20192","Peavy Lake","MN","","6/9/2022","TDP",NA,""
"11","NLF22-20050","South Sturgeon Lake","MN","","6/6/2022","CDOM","",""
"12","NLF22-20050","South Sturgeon Lake","MN","","6/6/2022","TDP",NA,""
"13","NLF22-20036","","MN","","6/16/2022","CDOM","",""
"14","NLF22-20036","","MN","","6/16/2022","TDP",NA,""
"15","NLF22-20363","","WI","","?","CDOM","",""
"16","NLF22-20363-DUP","","WI","","?","CDOM","",""
"17","NLF22-20015","Wolf Lake","MN","","6/21/2022","CDOM","",""
"18","NLF22-20015","Wolf Lake","MN","","6/21/2022","TDP",NA,""
"19","NLA22-MN-10195","Lake of the Woods","MN","","6/22/2022","CDOM","",""
"20","NLA22-MN-10195","Lake of the Woods","MN","","6/22/2022","TDP",NA,""
"21","NLA22-MN-10195-DUP","Lake of the Woods, Duplicate","MN","","6/22/2022","CDOM","",""
"22","NLA22-MN-10195-DUP","Lake of the Woods, Duplicate","MN","","6/22/2022","TDP",NA,""
"23","NLF22-20654","","MN","St. Louis","6/22/2022","CDOM","",""
"24","NLF22-20654","","MN","St. Louis","6/22/2022","TDP",NA,""
"25","NLA22-WI-10032","Taylor","WI","Bayfield","06/21/2022","CDOM","",""
"26","NLA22-WI-10028","Unnamed","WI","Price","6/22/2022","CDOM","",""
"27","NLF22-20026","","MN","","6/27/2022","CDOM","",""
"28","NLF22-20026","","MN","","6/27/2022","TDP",NA,""
"29","NLA22-MN-10161","","MN","","6/28/2022","CDOM","",""
"30","NLA22-MN-10161","","MN","","6/28/2022","TDP",NA,""
"31","NLF22-20181","","MN","","7/7/2022","CDOM","",""
"32","NLF22-20181","","MN","","7/7/2022","TDP",NA,""
"33","NLA22-MN-10168","","MN","","7/5/2022","CDOM","",""
"34","NLA22-MN-10168","","MN","","7/5/2022","TDP",NA,""
"35","NLF22-20004","","MN","","7/6/2022","CDOM","",""
"36","NLF22-20004","","MN","","7/6/2022","TDP",NA,""
"37","NLF22-20020","","MN","","7/6/2022","CDOM","",""
"38","NLF22-20020","","MN","","7/6/2022","TDP",NA,""
"39","NLF22-20021","","MN","","7/6/2022","CDOM","",""
"40","NLF22-20021","","MN","","7/6/2022","TDP",NA,""
"41","NLF22-20025","","MN","","7/6/2022","CDOM","",""
"42","NLF22-20025","","MN","","7/6/2022","TDP",NA,""
"43","NLA22-MN-10193","","MN","","6/29/2022","CDOM","",""
"44","NLA22-MN-10193","","MN","","6/29/2022","TDP",NA,""
"45","NLA22-MN-10118","","MN","","6/30/2022","CDOM","",""
"46","NLA22-MN-10118","","MN","","6/30/2022","TDP",NA,""
"47","NLA22-MN-10115","","MN","","6/30/2022","CDOM","",""
"48","NLA22-MN-10115","","MN","","6/30/2022","TDP",NA,""
"49","NLF22-20042","","MN","","6/30/2022","CDOM","",""
