"","X","vial","sample_name","shim_sample_id.x","cal_curve","manual_dilution","npoc","tn","shim_sample_id.y","date","project","sample_id","person","notes"
"1",1,1,"nla_nlf","nla1","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,6.311,0.5575,NA,"7/7/2022","nlf","nla_wi_10008","fc",""
"2",2,2,"nla_nlf","nla2","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,14.06,0.6288,NA,"7/6/2022","nlf","nla_wi_10026","fc",""
"3",3,3,"nla_nlf","nla3","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,10.53,0.9265,NA,NA,"nlf","nla22_wi_10108","fc",""
"4",4,4,"nla_nlf","nla4","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,10.81,0.5296,NA,"8/2/2022","nlf","nla22_mn_10109","fc",""
"5",5,5,"nla_nlf","nla5","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,7.298,0.6432,NA,"7/26/2022","nlf","nla22_wi_10110","fc",""
"6",6,6,"nla_nlf","nla6","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,29.31,1.433,NA,"8/4/2022","nlf","nla22_mn_10011","fc",""
"7",7,7,"nla_nlf","nla7","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,26.99,1.168,NA,"7/27/2022","nlf","nla22_wi_10114","fc",""
"8",8,8,"nla_nlf","nla8","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,16.6,0.9343,NA,"7/28/2022","nlf","nla22_wi_10116","fc","deep spot"
"9",9,9,"nla_nlf","nla9","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,7.71,0.4723,NA,NA,"nlf","nla22_wi_10124","fc",""
"10",10,10,"nla_nlf","nla10","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,4.14,0.1066,NA,"8/1/2022","nlf","nla22_wi_10114","fc",""
"11",11,11,"nla_nlf","nla11","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,8.212,0.3183,NA,"8/2/2022","nlf","nla22_20008","fc","labeled as 2008"
"12",12,12,"nla_nlf","nla12","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,16.42,0.6648,NA,"7/27/2022","nlf","nlf22_20010","fc","labeled as 200010"
"13",13,13,"nla_nlf","nla13","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,12.79,1.026,NA,"7/28/2022","nlf","nlf22_20026","fc",""
"14",14,14,"nla_nlf","nla14","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,14.22,0.5059,NA,NA,"nlf","nlf22_20043","fc",""
"15",15,15,"nla_nlf","nla15","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,11.22,0.5357,NA,"8/2/2022","nlf","nla22_mn_20047","fc",""
"16",16,16,"nla_nlf","nla16","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,8.52,0.5083,NA,"8/1/2022","nlf","nlf22_20051","fc",""
"17",17,17,"nla_nlf","nla17","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,11.36,0.6553,NA,"8/1/2022","nlf","nlf22_20059","fc",""
"18",18,18,"nla_nlf","nla18","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,7.397,0.605,NA,"8/4/2022","nlf","nlf22_20091","fc",""
"19",19,19,"nla_nlf","nla19","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,6.978,0.5543,NA,"8/1/2022","nlf","nlf22_20186","fc",""
