"","X","vial","sample_name","shim_sample_id","cal_curve","manual_dilution","npoc","tn","sample_id","dil","dilution_factor_1","dilution","dil_tn","dil_npoc"
"1",1,1,"nlanlf","nlanlf1","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,9.562,0.4896,"nlf22-20493","",1,1,0.4896,9.562
"2",2,2,"nlanlf","nlanlf2","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,9.342,0.4323,"nlf22-20493-dup","",1,1,0.4323,9.342
"3",3,3,"nlanlf","nlanlf3","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,3.505,0.2365,"nlf22-20498","",1,1,0.2365,3.505
"4",4,4,"nlanlf","nlanlf4","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,10.51,0.3484,"nlf22-20501","",1,1,0.3484,10.51
"5",5,5,"nlanlf","nlanlf5","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,9.08,0.2749,"nlf22-20641","",1,1,0.2749,9.08
"6",6,6,"nlanlf","nlanlf6","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,10.79,0.2567,"nlf22-20685","",1,1,0.2567,10.79
"7",7,7,"nlanlf","nlanlf7","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,2.261,0.06376,"nla22-wi-10140","nla22-wi-10140-dil",0.1299727701,7.69391926655566,0.490564292435589,17.3959514616824
"8",8,8,"nlanlf","nlanlf8","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,3.708,0.1134,"nlf22-20275","",1,1,0.1134,3.708
"9",9,9,"nlanlf","nlanlf9","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,3.405,0.1316,"nlf22-20311","",1,1,0.1316,3.405
"10",10,10,"nlanlf","nlanlf10","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,5.152,0.2815,"nlf22-20656","",1,1,0.2815,5.152
